date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:18	2566/2566	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/background.css?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/background55fe.css	(from http://marianodigabriele.com/)
09:59:23	117557/117557	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:49:43%20GMT	http://marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from http://marianodigabriele.com/)
09:59:23	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	http://marianodigabriele.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://marianodigabriele.com/)
09:59:27	23831/23831	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:49:43%20GMT	http://marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.6.8	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitionsf7b3.js	(from http://marianodigabriele.com/)
09:59:29	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	http://marianodigabriele.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://marianodigabriele.com/)
09:59:33	13322/13322	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/modernizr.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/modernizr.min982a.js	(from http://marianodigabriele.com/)
09:59:33	116595/116595	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:49:43%20GMT	http://marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.6.8	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jqueryf7b3.js	(from http://marianodigabriele.com/)
09:59:33	64908/64908	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:49:42%20GMT	http://marianodigabriele.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.6.6	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.minbde7.js	(from http://marianodigabriele.com/)
09:59:34	110563/110563	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:49:42%20GMT	http://marianodigabriele.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.6.6	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.minbde7.js	(from http://marianodigabriele.com/)
09:59:35	29097/29097	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/bootstrap.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/bootstrap.min982a.js	(from http://marianodigabriele.com/)
09:59:35	10802/10802	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.touchSwipe.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.touchSwipe.min982a.js	(from http://marianodigabriele.com/)
09:59:35	2429/2429	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/html5shiv.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/html5shiv982a.js	(from http://marianodigabriele.com/)
09:59:36	4377/4377	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/respond.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/lib/respond.min982a.js	(from http://marianodigabriele.com/)
09:59:39	874/874	---MCZ	200	added ('OK')	text/xml	date:Sun,%2006%20May%202018%2013:59:37%20GMT	http://marianodigabriele.com/xmlrpc.php?rsd	/Users/xbw881/websites/mariano/marianodigabriele.com/xmlrpc0db0.php	(from http://marianodigabriele.com/)
